word,emotion
senang,1
bahagia,1
gembira,1
ceria,1
riang,1
girang,1
suka,1
puas,1
bangga,1
damai,1
tenang,1
lega,1
nyaman,1
santai,1
sukacita,1
beruntung,1
berhasil,1
tercapai,1
menyenangkan,1
membahagiakan,1
percaya,2
yakin,2
pasti,2
aman,2
setia,2
jujur,2
tulus,2
terpercaya,2
mengandalkan,2
meyakini,2
kredibel,2
dapatdipercaya,2
bisadiandalkan,2
loyal,2
akurat,2
faktual,2
mempercayai,2
meyakinkan,2
terjamin,2
tervalidasi,2
terkejut,3
kaget,3
tercengang,3
terpana,3
syok,3
terhenyak,3
heran,3
takjub,3
terperangah,3
terperanjat,3
terharu,3
kagum,3
mengejutkan,3
luarbiasa,3
menakjubkan,3
mengherankan,3
mencengangkan,3
spontan,3
dadakan,3
netral,4
biasa,4
wajar,4
umum,4
standar,4
normal,4
ratarata,4
seimbang,4
moderat,4
stabil,4
konsisten,4
rutin,4
monoton,4
lumrah,4
reguler,4
konvensional,4
lazim,4
sederhana,4
standar,4
takut,5
cemas,5
khawatir,5
gelisah,5
ngeri,5
panik,5
tegang,5
waswas,5
gemetar,5
mencemaskan,5
ketakutan,5
gentar,5
waspada,5
trauma,5
fobia,5
teror,5
mengerikan,5
menakutkan,5
berbahaya,5
mengancam,5
sedih,6
murung,6
pilu,6
duka,6
merana,6
melankolis,6
muram,6
suram,6
kecewa,6
meratap,6
putusasa,6
hampa,6
depresi,6
kesepian,6
menyesal,6
nelangsa,6
menderita,6
pedih,6
terluka,6
terpuruk,6
marah,7
kesal,7
jengkel,7
geram,7
murka,7
emosi,7
berang,7
gusar,7
meradang,7
mengamuk,7
dendam,7
benci,7
sebal,7
frustrasi,7
tersinggung,7
kecewa,7
jera,7
sakithati,7
meledakledak,7
ganas,7
profesional,2
responsif,2
cepat,2
tanggap,2
lambat,6
lalai,7
teledor,7
ceroboh,7
sembrono,7
kasar,7
sopan,2
ramah,1
garang,7
bengis,7
keras,7
lemah,6
adil,2
diskriminatif,7
membantu,2
menolong,2
melindungi,2
mengayomi,2
brutal,7
kejam,7
tegas,2
disiplin,2
korup,7
jujur,2
transparan,2
tertib,2
kacau,7
intimidasi,7
mengancam,7
menekan,7
bijaksana,2
bodoh,7
tolol,7
pintar,2
cerdas,2
berani,2
pengecut,6
penakut,5
sigap,2
lamban,6
terlatih,2
kompeten,2
inkompeten,7
efektif,2
efisien,2
terampil,2
terpercaya,2
rapuh,6
kuat,2
lemah,6
terkenal,2
baik,1
buruk,7
hebat,1
payah,7
keren,1
menyebalkan,7
mengecewakan,6
bagus,1
menyedihkan,6
menyenangkan,1
gila,3
luarbiasa,3
biasasaja,4
mengesankan,1
konyol,7
lucu,1
aneh,3
asyik,1
santai,1
sibuk,6
wah,3
yah,6
hm,4
hmm,4
ah,4
oh,3
eh,3
oke,2
ok,2
okelah,2
iya,2
ya,2
bukan,4
tidak,4
nggak,4
gak,4
enggak,4
nope,4
yup,2
jelas,2
pastilah,2
tentu,2
pasti,2
begitulah,4
gitulah,4
kadang,4
bisa,2
bisajadi,4
mungkin,4
barangkali,4
kiranya,4
sepertinya,4
seharusnya,4
rasanya,4
kelihatannya,4
tampaknya,4
seperti,4
kayaknya,4
kyknya,4
mantap,1
mantul,1
kece,1
keren,1
wow,3
wah,3
yey,1
yay,1
yeay,1
aduh,3
waduh,3
duh,3
astaga,3
astagfirullah,3
inalillahi,6
innalillahi,6
hamdulillah,1
alhamdulillah,1
syukur,1
syukurlah,1
beruntung,1
sial,6
celaka,6
mujur,1
ampun,5
ampuni,5
YaAllah,5
YaTuhan,5
bersyukur,1
alkhamdulillah,1
yaudah,4
yasudah,4
yaudahlah,4
Haha,1
Hehe,1
Hihi,1
Wkwk,1
Wkwkwk,1
Hahaha,1
Wah,3
Yaampun,3
aduh,3
hemmm,4
yasudahlah,4
kenapa,4
apa,4
dimana,4
siapa,4
bagaimana,4
kapan,4
mengapa,4
berapa,4
akan,4
mungkin,4
berguna,1
saja,3
ini,4
mah,7
sama,7
guna,1
polisi,4
saya,4
